Country,Segment,Date,Snapshot Date,Metric,Value
Austria,Corporates,2022-03,31/03/2022,Default Rate,0.003757673
Austria,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Austria,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.007226108
Austria,Retail,2022-03,31/03/2022,Default Rate,0.005035782
Austria,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.003618163
Austria,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.006003676
Austria,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.008077707
Belgium,Corporates,2022-03,31/03/2022,Default Rate,0.013105316
Belgium,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.027761268
Belgium,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.012893613
Belgium,Retail,2022-03,31/03/2022,Default Rate,0.006558085
Belgium,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.005442168
Belgium,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.010950917
Belgium,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.011176983
Bulgaria,Corporates,2022-03,31/03/2022,Default Rate,0.046223553
Bulgaria,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Bulgaria,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.074834348
Bulgaria,Retail,2022-03,31/03/2022,Default Rate,0.036167448
Bulgaria,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.030500494
Bulgaria,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.02707895
Bulgaria,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.052787473
Croatia,Corporates,2022-03,31/03/2022,Default Rate,0.005075825
Croatia,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Croatia,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Croatia,Retail,2022-03,31/03/2022,Default Rate,0.005882819
Croatia,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.001984592
Croatia,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.016780235
Croatia,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.008316623
Cyprus,Corporates,2022-03,31/03/2022,Default Rate,0.043783948
Cyprus,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Cyprus,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Cyprus,Retail,2022-03,31/03/2022,Default Rate,0.002960443
Cyprus,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,
Cyprus,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,
Cyprus,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.005624044
Czech,Corporates,2022-03,31/03/2022,Default Rate,0.006681266
Czech,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.002069819
Czech,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.012262916
Czech,Retail,2022-03,31/03/2022,Default Rate,0.006040513
Czech,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.003766649
Czech,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.003936752
Czech,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.011924943
Denmark,Corporates,2022-03,31/03/2022,Default Rate,0.004655575
Denmark,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Denmark,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.003908806
Denmark,Retail,2022-03,31/03/2022,Default Rate,0.005640914
Denmark,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.005396612
Denmark,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.01318209
Denmark,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.00776253
Estonia,Corporates,2022-03,31/03/2022,Default Rate,0.007206047
Estonia,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Estonia,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Estonia,Retail,2022-03,31/03/2022,Default Rate,0.003892493
Estonia,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.003819945
Estonia,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,
Estonia,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.004301354
Finland,Corporates,2022-03,31/03/2022,Default Rate,0.008334427
Finland,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Finland,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.011625345
Finland,Retail,2022-03,31/03/2022,Default Rate,0.009183895
Finland,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.008467974
Finland,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.005694071
Finland,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.011189007
France,Corporates,2022-03,31/03/2022,Default Rate,0.005718241
France,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.004671759
France,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.012964776
France,Retail,2022-03,31/03/2022,Default Rate,0.004969573
France,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.002664109
France,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.009417403
France,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.009234693
Germany,Corporates,2022-03,31/03/2022,Default Rate,0.004666553
Germany,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.006857802
Germany,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.007201656
Germany,Retail,2022-03,31/03/2022,Default Rate,0.006711709
Germany,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.004313286
Germany,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.004350328
Germany,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.014527066
Greece,Corporates,2022-03,31/03/2022,Default Rate,0.015755178
Greece,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Greece,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Greece,Retail,2022-03,31/03/2022,Default Rate,0.039836343
Greece,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,
Greece,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.013402282
Greece,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.037126434
Hungary,Corporates,2022-03,31/03/2022,Default Rate,0.008643694
Hungary,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Hungary,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.01898336
Hungary,Retail,2022-03,31/03/2022,Default Rate,0.012499493
Hungary,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.012545581
Hungary,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.048613473
Hungary,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.029532906
Ireland,Corporates,2022-03,31/03/2022,Default Rate,0.019743042
Ireland,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.048047072
Ireland,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.026887773
Ireland,Retail,2022-03,31/03/2022,Default Rate,0.012318027
Ireland,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.012020013
Ireland,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.006145026
Ireland,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.023872986
Italy,Corporates,2022-03,31/03/2022,Default Rate,0.006047045
Italy,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Italy,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.011748847
Italy,Retail,2022-03,31/03/2022,Default Rate,0.009434649
Italy,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.006766282
Italy,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.003738496
Italy,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.014053764
Latvia,Corporates,2022-03,31/03/2022,Default Rate,
Latvia,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Latvia,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Latvia,Retail,2022-03,31/03/2022,Default Rate,0.009915648
Latvia,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.011026071
Latvia,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,
Latvia,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.006676384
Lithuania,Corporates,2022-03,31/03/2022,Default Rate,
Lithuania,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Lithuania,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
Lithuania,Retail,2022-03,31/03/2022,Default Rate,0.006186396
Lithuania,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.006722389
Lithuania,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.033028565
Lithuania,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.003507584
Luxembourg,Corporates,2022-03,31/03/2022,Default Rate,0.005348082
Luxembourg,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,0.005401079
Luxembourg,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,0.002794124
Luxembourg,Retail,2022-03,31/03/2022,Default Rate,0.00329513
Luxembourg,Retail - Secured on real estate property,2022-03,31/03/2022,Default Rate,0.001650082
Luxembourg,Retail - Qualifying Revolving,2022-03,31/03/2022,Default Rate,0.020111637
Luxembourg,Retail - Other Retail,2022-03,31/03/2022,Default Rate,0.012087102
Malta,Corporates,2022-03,31/03/2022,Default Rate,
Malta,Corporates - Of Which: Specialised Lending,2022-03,31/03/2022,Default Rate,
Malta,Corporates - Of Which: SME,2022-03,31/03/2022,Default Rate,
